"","Date","Open","Place","Days","R","RaceName","Odds","Result","name","Distance","FieldCond","ThisRaceOneRound","ThisRaceStretch","ThisRaceElevation","FrameNum","HorseNum","HorseWeight","LastHorseWeight","WeightGain","Burden","Grade1","Grade2","Grade3","Grade4","DateDiff1","DateDiff2","DateDiff3","DateDiff4","Age","Result1","Result2","Result3","Result4","Diff1","Diff2","Diff3","Diff4","Distance1","Distance2","Distance3","Distance4","Spart1","Spart2","Spart3","Spart4","Pass1st1","Pass1st2","Pass1st3","Pass1st4","PassLast1","PassLast2","PassLast3","PassLast4","FirstPace1","FirstPace2","FirstPace3","FirstPace4","LastPace1","LastPace2","LastPace3","LastPace4","OneRound1","OneRound2","OneRound3","OneRound4","Stretch1","Stretch2","Stretch3","Stretch4","Elevation1","Elevation2","Elevation3","Elevation4","DA","RaceNum","Samecond","SamecondNR","Othercond","OthercondNR","SamePlace","SamePlaceNR","SameDist","SameDistNR","LongerDist","LongerDistNR","ShorterDist","ShorterDistNR","EarnedMoney","Money180","Money500","CrudeResult","ThisRaceMoney","LastRaceName","predictPassing"
"1","2004/02/15",2,"京都",6,6,"4歳上500万下",3.5,1,"http://db.netkeiba.com/horse/1998102665",1800,"良",1607.6,329.1,3,1,1,466,450,16,57,499,701,701,701,153,168,197,505,1106,4,4,1,6,0.6,0.7,-0.7,0.7,400,100,100,100,NA,-0.100000000000001,0.299999999999997,-0.199999999999996,9,2,3,6,6,2,2,5,NA,29,29.9,30,NA,39.4,39.9,38.6,NA,162.2,162.2,120.6,NA,37.8,37.8,64.8,NA,0.1,0.1,2.1,13,15,1,1,2,1.024,0,0,0,0,0,0,3,2.024,1808,168,918,1,750,"桂浜盃[JRA指定交",0
"2","2005/02/12",2,"京都",5,7,"4歳上500万下",170.3,15,"http://db.netkeiba.com/horse/1998103606",1800,"良",1607.6,329.1,3,1,1,488,500,-12,55,701,701,701,701,21,49,62,77,1645,8,5,3,10,2.8,0.5,0.8,1.4,0,100,100,400,-0.899999999999999,0.399999999999999,0.899999999999999,-1,14,14,14,5,10,6,9,5,37.5,29.9,30.8,35.7,39.7,39.4,38.8,36.8,114.6,77.5999999999999,77.5999999999999,0,21.1,-81.6,-81.6,0,-1.5,-0.4,-0.4,0,47,49,12,4.016822747136,4,2.214144,2,0.774217728,1,0.2097152,0,0,15,6.021251547136,3290,340,1320,0.04398046511104,0,"4歳上500万下",1
"3","2004/01/10",1,"京都",2,5,"4歳上500万下",26.3,8,"http://db.netkeiba.com/horse/1998105445",1800,"良",1607.6,329.1,3,1,1,452,452,0,52,701,701,701,701,21,34,97,104,1161,11,3,4,14,1.5,0.7,0.7,3.3,100,100,0,0,-0.600000000000001,0.300000000000004,0.100000000000001,-2,10,9,11,7,13,7,14,14,30,29.8,37.4,37.3,37.5,40.2,38.7,38.5,77.5999999999999,77.5999999999999,90,90,-81.6,-81.6,-23.6,-23.6,-0.4,-0.4,1.4,1.4,27,35,10,4.6514110373888,6,1.897437659136,2,0.774217728,8,3.6274110373888,1,0.512,7,2.409437659136,3321,375,1910,0.2097152,0,"3歳上500万下",1
"4","2004/11/21",5,"京都",6,8,"3歳上500万下",88.6,6,"http://db.netkeiba.com/horse/1999100683",1800,"良",1607.6,329.1,3,1,1,448,444,4,54,499,701,701,701,19,43,70,91,1141,6,14,5,9,1.4,1,0.7,1.3,0,400,0,100,NA,0.200000000000003,0.5,-0.600000000000001,7,15,10,10,3,13,8,7,NA,34.9,35.8,29.9,NA,35.7,37.1,38.8,NA,-175.2,-33.3000000000002,120.6,NA,0.700000000000045,63,64.8,NA,-0.1,2.3,2.1,19,38,12,4.2133494693888,6,0.93834113449984,2,0.1099511627776,8,2.3099710373888,0,0,10,2.84171956649984,1462.5,162,282.8,0.32768,0,"虎渓山特別",1
"5","2004/02/01",2,"京都",2,8,"4歳上500万下",2.2,2,"http://db.netkeiba.com/horse/1999103415",1800,"良",1607.6,329.1,3,1,1,498,494,4,57,701,701,701,701,22,42,56,78,876,2,7,2,9,0.1,0.5,0.1,1.1,0,0,400,400,0.5,0.400000000000006,1.5,-0.399999999999999,6,11,14,6,7,11,11,5,37.4,37.2,34.3,35.3,37.8,37.7,39.2,38.6,0,90,90,0,0,-23.6,-23.6,0,0,1.4,1.4,0,19,26,10,4.59858794184704,6,1.3735599013888,5,2.34505216,6,2.68026846511104,1,0.068719476736,9,3.2231599013888,2263,1090,1275,0.8,300,"4歳上500万下",1
"6","2004/01/10",1,"京都",2,6,"4歳上500万下",5.6,2,"http://db.netkeiba.com/horse/1999103415",1800,"良",1607.6,329.1,3,1,1,494,490,4,57,701,701,701,701,20,34,56,77,854,7,2,9,6,0.5,0.1,1.1,0.7,0,400,400,400,0.400000000000006,1.5,-0.399999999999999,0.899999999999999,11,14,6,15,11,11,5,13,37.2,34.3,35.3,35.4,37.7,39.2,38.6,38.9,90,90,0,0,-23.6,-23.6,0,0,1.4,1.4,0,0,18,25,9,3.79858794184704,6,1.3735599013888,4,1.54505216,5,1.88026846511104,1,0.068719476736,9,3.2231599013888,1963,900,975,0.8,300,"3歳上500万下",1
"7","2004/02/22",2,"京都",8,8,"4歳上500万下",2.2,2,"http://db.netkeiba.com/horse/1999103577",1800,"良",1607.6,329.1,3,1,1,472,476,-4,55,701,701,701,701,28,43,56,78,806,2,3,7,7,0.1,0.1,1.7,1.4,0,0,100,100,-0.0999999999999943,0.200000000000003,-1.2,0,1,2,7,14,1,3,6,11,37.4,36.9,29.4,29.2,38.7,38,39.3,39.1,0,0,77.5999999999999,77.5999999999999,0,0,-81.6,-81.6,0,0,-0.4,-0.4,27,26,12,5.40390656,3,1.862144,5,2.8593152,7,3.43668736,0,0,8,3.8293632,3294,865,1940,0.8,300,"4歳上500万下",0
"8","2004/01/05",1,"京都",1,6,"4歳上500万下",88.1,9,"http://db.netkeiba.com/horse/1999104772",1800,"良",1607.6,329.1,3,1,1,472,474,-2,57,701,701,701,701,8,44,85,107,792,11,5,14,6,1,0.5,0.9,0.6,0,400,0,0,0.100000000000001,0.200000000000003,0.100000000000001,-0.399999999999999,10,7,9,1,8,5,4,2,36.4,34.9,36.1,39,36.9,36.7,35.7,35.4,-98.3000000000002,-475.5,-475.5,-33.3000000000002,-83.4,-196.8,-196.8,63,-0.5,0.3,0.3,2.3,3,22,9,2.8433460521599,3,0.9891933093888,0,0,4,1.1300297637888,1,0.0281474976710656,7,2.67436210008883,1671.3,531.3,831.3,0.16777216,0,"尾張特別(500万下)",0
"9","2004/01/11",1,"京都",3,8,"4歳上500万下",10.8,6,"http://db.netkeiba.com/horse/1999107117",1800,"良",1607.6,329.1,3,1,1,426,426,0,54,701,499,701,701,14,40,70,84,708,4,1,5,4,0.4,0,0.6,0.3,100,200,400,200,0.399999999999999,1,0.699999999999996,1.5,12,10,8,15,8,6,6,16,29.8,36.2,35.4,35.6,38.9,41,38.9,39.5,77.5999999999999,NA,-291.4,-291.4,-81.6,NA,-172.5,-172.5,-0.4,NA,0.5,0.5,17,19,7,3.32288,6,2.83284736,0,0,3,1.06496,0,0,10,5.09076736,2230,915,1290,0.32768,0,"3歳上500万下",1
"10","2004/01/18",1,"京都",6,8,"4歳上500万下",38.5,9,"http://db.netkeiba.com/horse/1999110034",1800,"良",1607.6,329.1,3,1,1,482,486,-4,57,701,701,701,701,29,42,169,183,630,7,3,3,7,1.3,1,0.7,1.5,600,600,100,100,0.299999999999997,-0.200000000000003,-0.600000000000001,-1.2,14,8,5,2,13,8,2,3,33.9,33.9,29.7,30.6,38.5,38.9,38.3,38.2,114.6,114.6,131.8,131.8,21.1,21.1,68.8,68.8,-1.5,-1.5,-0.5,-0.5,17,22,12,3.58014785224704,3,2.28,0,0,0,0,1,0.068719476736,14,5.79142837551104,911.9,380,781.9,0.16777216,0,"3歳上500万下",0
